Courses	to	multicore	matrices	disciplines	design	memory	this	algorithms	intelligent	a	representation	order	course	including	solving	systems	python	math	linear	labs	first	probability	introduction	instruction	mechanical	programming	solutions	knowledge	intelligence	computer	are	learning	equations	these	engineering	will	studied	in	primitives	numerical	analysis	the	advanced	role	methods	for	students	be	on	software	computational	communication	with	problem	as	distributions	functions	models	problems
ENGR 498 	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MATH 205 	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	1	0	2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENGR 212 	1	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	5	0	0	0	5	2	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
CS 351 	2	2	0	0	1	2	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	4	2	0	0	1	0	0	0	1	2	0	0	3	0	2	1	0	0	0	0	0	0
CS 371 	2	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3
CS 352 	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	1	0	2	1	0	1	0	0	0	0	0	0	0
MATH 104 	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENGR 251 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
CS 362 	3	0	0	0	0	0	2	0	2	1	2	0	2	0	3	1	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	2	0	0	1	0	0	2	0	0	0	3	0	2	1	0	2	1	0	0	2	0	0	3	0	0	0	0	1
LIFE 101 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CS 372 	0	0	0	0	1	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ENGR 497 	0	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
MATH 103 	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENGR 106 	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	2	0	0	2	0	1	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENGR 422 	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	5	0	3	0	1	0	2	1	0	4	0	4	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1
ENGR 211 	2	0	0	0	0	0	2	0	0	1	0	0	5	0	0	0	2	0	0	0	0	0	1	0	0	4	0	0	0	1	0	0	0	0	0	4	0	7	0	0	0	8	1	0	0	1	0	2	2	1	0	0	2	0	2	0	0	0	0
LIFE 102 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CS 361 	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0
